,
Address (dec),Data (Hex)
,
8,aa aa
12,bb bb
16,cc cc
20,dd dd
24,ab ab
28,ff ff
32,84 84
36,12 34
40,87 65
44,09 09
48,ee ee
52,97 85
56,1b 1b
60,00 00
64,0f 0f64,0f 0f,
Address (dec),Data (Hex)
,
8,aa aa
12,bb bb
16,cc cc
20,dd dd
24,ab ab
28,ff ff
32,84 84
36,12 34
40,87 65
44,09 09
48,ee ee
52,97 85
56,1b 1b
60,00 00
64,0f 0f64,0f 0f,
Address (dec),Data (Hex)
,
8,aa aa
12,bb bb
16,cc cc
20,dd dd
24,ab ab
28,ff ff
32,84 84
36,12 34
40,87 65
44,09 09
48,ee ee
52,97 85
56,1b 1b
60,00 00
64,0f 0f64,0f 0f
